epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2641,1.47735,2.82953,1.28282,0.00354,0.95775,0.49004,0.26619,1.24168,3.64869,1.0659,0.00046,0.00046,0.00046
2,41.5731,1.45116,1.92646,1.22849,0.14253,0.05634,0.10224,0.05011,1.45245,3.75972,1.58929,0.000921388,0.000921388,0.000921388
3,63.656,1.45616,1.89511,1.28064,0.6415,0.05102,0.13949,0.07015,1.86018,4.06178,1.78853,0.00136377,0.00136377,0.00136377
4,86.7227,1.51899,1.74065,1.31868,0.47683,0.23944,0.28444,0.13675,1.71436,3.31421,1.89054,0.00178714,0.00178714,0.00178714
5,110.768,1.59794,1.63237,1.30458,0.49246,0.4507,0.31241,0.15196,1.63641,2.88088,1.4933,0.0018416,0.0018416,0.0018416
6,135.164,1.42262,1.43107,1.26402,0.78504,0.51444,0.59995,0.31598,1.63622,2.4692,1.43499,0.001802,0.001802,0.001802
7,160.34,1.51846,1.37075,1.27394,0.72665,0.67606,0.70715,0.36068,1.5394,1.6219,1.30678,0.0017624,0.0017624,0.0017624
8,188.949,1.5392,1.34543,1.29399,0.52291,0.70423,0.60368,0.33338,1.55249,1.78458,1.33909,0.0017228,0.0017228,0.0017228
9,219.876,1.42797,1.23562,1.22527,0.36297,0.70423,0.35961,0.18085,1.58934,2.7372,1.32456,0.0016832,0.0016832,0.0016832
10,249.408,1.45735,1.22959,1.26791,0.74942,0.77465,0.75914,0.41693,1.51632,1.29072,1.26259,0.0016436,0.0016436,0.0016436
11,280.24,1.35201,1.15598,1.21534,0.79668,0.82783,0.86935,0.44647,1.54757,1.2159,1.33343,0.001604,0.001604,0.001604
12,308.2,1.48602,1.14251,1.3483,0.87733,0.76056,0.84419,0.46079,1.497,1.26079,1.33496,0.0015644,0.0015644,0.0015644
13,335.414,1.38247,1.01825,1.25975,0.83356,0.84507,0.85905,0.49227,1.54352,1.21287,1.37362,0.0015248,0.0015248,0.0015248
14,365.196,1.39367,1.0284,1.23978,0.88513,0.75969,0.77855,0.42139,1.57499,1.11743,1.36382,0.0014852,0.0014852,0.0014852
15,396.583,1.48582,1.03946,1.28038,0.90795,0.77465,0.84292,0.4632,1.53226,1.04252,1.32145,0.0014456,0.0014456,0.0014456
16,424.784,1.39388,0.93691,1.23477,0.86497,0.80282,0.82673,0.46019,1.48852,1.05968,1.26243,0.001406,0.001406,0.001406
17,454.142,1.44035,0.93647,1.21443,0.93437,0.80282,0.90515,0.46827,1.52385,1.08879,1.32046,0.0013664,0.0013664,0.0013664
18,482.761,1.3001,0.86718,1.17606,0.92185,0.83068,0.88184,0.48856,1.49356,1.03527,1.29787,0.0013268,0.0013268,0.0013268
19,511.421,1.34443,0.89363,1.20193,0.86181,0.79054,0.90252,0.50388,1.53784,0.9993,1.29563,0.0012872,0.0012872,0.0012872
20,541.116,1.32052,0.86892,1.23741,0.95531,0.77465,0.90499,0.50927,1.4821,0.95328,1.26892,0.0012476,0.0012476,0.0012476
21,567.387,1.33779,0.90659,1.22876,0.8794,0.82166,0.8538,0.47154,1.45673,1.26478,1.25487,0.001208,0.001208,0.001208
22,593.071,1.34433,0.8653,1.18229,0.87629,0.83099,0.84842,0.46869,1.49734,0.97239,1.26451,0.0011684,0.0011684,0.0011684
23,618.986,1.29285,0.82666,1.15617,0.80949,0.78873,0.8355,0.46004,1.51348,0.92307,1.26357,0.0011288,0.0011288,0.0011288
24,645.059,1.26081,0.82655,1.1913,0.96277,0.80282,0.89384,0.47909,1.5433,0.91653,1.25892,0.0010892,0.0010892,0.0010892
25,668.001,1.23109,0.79171,1.13206,0.90089,0.89618,0.91676,0.51565,1.47758,0.85488,1.25027,0.0010496,0.0010496,0.0010496
26,691.798,1.25606,0.78552,1.16491,0.9524,0.84507,0.94257,0.54017,1.41501,0.81628,1.22313,0.00101,0.00101,0.00101
27,716.555,1.21298,0.73712,1.14384,0.90767,0.8169,0.90829,0.50155,1.51966,0.87102,1.25335,0.0009704,0.0009704,0.0009704
28,741.085,1.24738,0.7722,1.16438,0.89445,0.83551,0.87139,0.48244,1.47412,0.8497,1.25891,0.0009308,0.0009308,0.0009308
29,763.813,1.15427,0.73259,1.12742,0.91829,0.87324,0.87457,0.48957,1.50939,0.80126,1.28422,0.0008912,0.0008912,0.0008912
30,786.972,1.22967,0.74675,1.12548,0.81971,0.83099,0.84767,0.45949,1.56733,0.86787,1.32414,0.0008516,0.0008516,0.0008516
31,811.885,1.1983,0.73752,1.14777,0.88402,0.85883,0.86354,0.49043,1.48181,0.87944,1.25201,0.000812,0.000812,0.000812
32,835.761,1.18721,0.71365,1.14097,0.86894,0.88732,0.87796,0.50524,1.46082,0.79823,1.24855,0.0007724,0.0007724,0.0007724
33,859.264,1.1406,0.67432,1.1192,0.79622,0.88055,0.86106,0.4784,1.46115,0.85943,1.2166,0.0007328,0.0007328,0.0007328
34,882.544,1.16425,0.73315,1.15245,0.94027,0.88683,0.90234,0.50205,1.46097,0.84893,1.24709,0.0006932,0.0006932,0.0006932
35,905.482,1.14414,0.67956,1.09779,0.89851,0.84507,0.89738,0.50217,1.49834,0.79697,1.23983,0.0006536,0.0006536,0.0006536
36,927.883,1.17621,0.68881,1.1371,0.89531,0.84316,0.89903,0.49389,1.45297,0.82219,1.22542,0.000614,0.000614,0.000614
